_未錄 ?易混淆 x雜音 *音量過小

01000000		ㄅ
01002500		ㄅㄚ
01002538		ㄅㄚˊ
01002539		ㄅㄚˇ
01002540		ㄅㄚˋ
01002541		ㄅㄚ˙
01002600		ㄅㄛ
01002638		ㄅㄛˊ
01002639		ㄅㄛˇ
01002640		ㄅㄛˋ
01002641		ㄅㄛ˙
01002900		ㄅㄞ
01002938		ㄅㄞˊ
01002939		ㄅㄞˇ
01002940		ㄅㄞˋ
01003000		ㄅㄟ
01003038		ㄅㄟˊ
01003039		ㄅㄟˇ
01003040		ㄅㄟˋ
01003100		ㄅㄠ
01003138		ㄅㄠˊ
01003139		ㄅㄠˇ
01003140		ㄅㄠˋ
01003141		ㄅㄠ˙
01003300		ㄅㄢ
01003338		ㄅㄢˊ
01003339		ㄅㄢˇ
01003340		ㄅㄢˋ
01003400		ㄅㄣ
01003438		ㄅㄣˊ
01003439		ㄅㄣˇ
01003440		ㄅㄣˋ
01003500		ㄅㄤ
01003538		ㄅㄤˊ
01003539		ㄅㄤˇ
01003540		ㄅㄤˋ
01003600		ㄅㄥ
01003638		ㄅㄥˊ
01003639		ㄅㄥˇ
01003640		ㄅㄥˋ
01220000		ㄅㄧ
01220038		ㄅㄧˊ
01220039		ㄅㄧˇ
01220040		ㄅㄧˋ
01222800		ㄅㄧㄝ
01222838		ㄅㄧㄝˊ
01222839		ㄅㄧㄝˇ
01222840		ㄅㄧㄝˋ
01223100		ㄅㄧㄠ
01223138		ㄅㄧㄠˊ
01223139		ㄅㄧㄠˇ
01223140		ㄅㄧㄠˋ
01223300		ㄅㄧㄢ
01223338		ㄅㄧㄢˊ
01223339		ㄅㄧㄢˇ
01223340		ㄅㄧㄢˋ
01223400		ㄅㄧㄣ
01223438		ㄅㄧㄣˊ
01223439		ㄅㄧㄣˇ
01223440		ㄅㄧㄣˋ
01223600		ㄅㄧㄥ
	_01223638		ㄅㄧㄥˊ
	?01223639		ㄅㄧㄥˇ
01223640		ㄅㄧㄥˋ
01230000		ㄅㄨ
01230038		ㄅㄨˊ
01230039		ㄅㄨˇ
01230040		ㄅㄨˋ
02000000		ㄆ
02002500		ㄆㄚ
02002538		ㄆㄚˊ
02002539		ㄆㄚˇ
02002540		ㄆㄚˋ
02002600		ㄆㄛ
02002638		ㄆㄛˊ
02002639		ㄆㄛˇ
02002640		ㄆㄛˋ
02002641		ㄆㄛ˙
02002900		ㄆㄞ
02002938		ㄆㄞˊ
02002939		ㄆㄞˇ
02002940		ㄆㄞˋ
02003000		ㄆㄟ
02003038		ㄆㄟˊ
02003039		ㄆㄟˇ
02003040		ㄆㄟˋ
02003100		ㄆㄠ
02003138		ㄆㄠˊ
02003139		ㄆㄠˇ
02003140		ㄆㄠˋ
02003300		ㄆㄢ
02003338		ㄆㄢˊ
02003339		ㄆㄢˇ
02003340		ㄆㄢˋ
02003400		ㄆㄣ
02003438		ㄆㄣˊ
	*02003439	ㄆㄣˇ
